site,lat,lon,area,YYYY,MONTH,SSTmonthly
Aodi,25.053838,121.930807,New Taipei,2016,6,27.5999993830919
Aodi,25.053838,121.930807,New Taipei,2015,9,26.7899994011968
Aodi,25.053838,121.930807,New Taipei,2003,4,22.7599994912744
Aodi,25.053838,121.930807,New Taipei,2017,1,21.3999995216727
Aodi,25.053838,121.930807,New Taipei,2005,4,23.2199994809926
Aodi,25.053838,121.930807,New Taipei,2011,1,21.3599995225668
Aodi,25.053838,121.930807,New Taipei,2013,1,21.1199995279312
Aodi,25.053838,121.930807,New Taipei,2017,9,28.3799993656576
Aodi,25.053838,121.930807,New Taipei,2004,9,27.2099993918091
Aodi,25.053838,121.930807,New Taipei,2016,7,28.3599993661046
Aodi,25.053838,121.930807,New Taipei,2017,6,26.8699993994087
Aodi,25.053838,121.930807,New Taipei,2018,6,27.1099993940443
Aodi,25.053838,121.930807,New Taipei,2013,7,27.8199993781745
Aodi,25.053838,121.930807,New Taipei,2014,1,21.0099995303899
Aodi,25.053838,121.930807,New Taipei,2018,12,22.2099995035678
Aodi,25.053838,121.930807,New Taipei,2017,7,28.5499993618578
Aodi,25.053838,121.930807,New Taipei,2018,7,27.8599993772805
Aodi,25.053838,121.930807,New Taipei,2018,9,27.6699993815273
Aodi,25.053838,121.930807,New Taipei,2010,3,21.6599995158613
Aodi,25.053838,121.930807,New Taipei,2012,8,27.559999383986
Aodi,25.053838,121.930807,New Taipei,2019,6,27.0599993951619
Aodi,25.053838,121.930807,New Taipei,2009,8,27.8199993781745
Aodi,25.053838,121.930807,New Taipei,2001,11,23.7199994698167
Aodi,25.053838,121.930807,New Taipei,2006,4,23.8699994664639
Aodi,25.053838,121.930807,New Taipei,2007,1,21.2899995241314
Aodi,25.053838,121.930807,New Taipei,2011,9,26.8799993991852
Aodi,25.053838,121.930807,New Taipei,2019,7,28.4999993629754
Aodi,25.053838,121.930807,New Taipei,2004,7,27.6399993821979
Aodi,25.053838,121.930807,New Taipei,2002,7,27.7099993806332
Aodi,25.053838,121.930807,New Taipei,2020,7,29.0399993509054
Aodi,25.053838,121.930807,New Taipei,2010,8,28.6399993598461
Aodi,25.053838,121.930807,New Taipei,2005,9,26.7799994014204
Aodi,25.053838,121.930807,New Taipei,2015,1,20.9399995319545
Aodi,25.053838,121.930807,New Taipei,2012,1,20.7499995362014
Aodi,25.053838,121.930807,New Taipei,2004,4,22.5399994961917
Aodi,25.053838,121.930807,New Taipei,2018,1,20.9899995308369
Aodi,25.053838,121.930807,New Taipei,2010,4,22.7999994903803
Aodi,25.053838,121.930807,New Taipei,2005,7,27.829999377951
Aodi,25.053838,121.930807,New Taipei,2008,1,21.3199995234609
Aodi,25.053838,121.930807,New Taipei,2020,9,28.3799993656576
Aodi,25.053838,121.930807,New Taipei,2019,9,27.3499993886799
Aodi,25.053838,121.930807,New Taipei,2016,9,27.3199993893504
Aodi,25.053838,121.930807,New Taipei,2015,7,28.0599993728101
Aodi,25.053838,121.930807,New Taipei,2003,11,24.1999994590879
Aodi,25.053838,121.930807,New Taipei,2008,10,25.5199994295836
Aodi,25.053838,121.930807,New Taipei,2016,1,21.7899995129556
Aodi,25.053838,121.930807,New Taipei,2000,7,27.6899993810803
Aodi,25.053838,121.930807,New Taipei,2003,3,21.7399995140731
Aodi,25.053838,121.930807,New Taipei,2000,12,22.7199994921684
Aodi,25.053838,121.930807,New Taipei,2001,10,25.0899994391948
Aodi,25.053838,121.930807,New Taipei,2011,4,21.7699995134026
Aodi,25.053838,121.930807,New Taipei,2006,7,28.409999364987
Aodi,25.053838,121.930807,New Taipei,2000,8,27.9199993759394
Aodi,25.053838,121.930807,New Taipei,2007,9,27.0699993949384
Aodi,25.053838,121.930807,New Taipei,2012,6,26.4099994096905
Aodi,25.053838,121.930807,New Taipei,2009,12,21.9499995093793
Aodi,25.053838,121.930807,New Taipei,2014,7,28.5499993618578
Aodi,25.053838,121.930807,New Taipei,2004,1,21.0199995301664
Aodi,25.053838,121.930807,New Taipei,2009,4,22.4899994973093
Aodi,25.053838,121.930807,New Taipei,2019,12,21.2099995259196
Aodi,25.053838,121.930807,New Taipei,2004,3,20.7299995366484
Aodi,25.053838,121.930807,New Taipei,2016,12,23.1099994834513
Aodi,25.053838,121.930807,New Taipei,2003,10,25.4899994302541
Aodi,25.053838,121.930807,New Taipei,2012,4,23.4999994747341
Aodi,25.053838,121.930807,New Taipei,2020,3,21.6999995149672
Aodi,25.053838,121.930807,New Taipei,2009,1,21.0299995299429
Aodi,25.053838,121.930807,New Taipei,2000,10,26.2299994137138
Aodi,25.053838,121.930807,New Taipei,2011,3,21.1799995265901
Aodi,25.053838,121.930807,New Taipei,2013,8,28.6299993600696
Aodi,25.053838,121.930807,New Taipei,2007,12,22.1199995055795
Aodi,25.053838,121.930807,New Taipei,2008,3,23.0599994845688
Aodi,25.053838,121.930807,New Taipei,2002,11,23.9499994646758
Aodi,25.053838,121.930807,New Taipei,2007,4,22.4299994986504
Aodi,25.053838,121.930807,New Taipei,2020,6,27.7299993801862
Aodi,25.053838,121.930807,New Taipei,2012,9,27.2199993915856
Aodi,25.053838,121.930807,New Taipei,2001,12,21.819999512285
Aodi,25.053838,121.930807,New Taipei,2009,9,27.1699993927032
Aodi,25.053838,121.930807,New Taipei,2013,4,23.3899994771928
Aodi,25.053838,121.930807,New Taipei,2007,7,28.7099993582815
Aodi,25.053838,121.930807,New Taipei,2001,8,28.2599993683398
Aodi,25.053838,121.930807,New Taipei,2006,9,27.7099993806332
Aodi,25.053838,121.930807,New Taipei,2003,7,27.7499993797392
Aodi,25.053838,121.930807,New Taipei,2011,8,27.9799993745983
Aodi,25.053838,121.930807,New Taipei,2009,3,21.6499995160848
Aodi,25.053838,121.930807,New Taipei,2019,1,22.3299995008856
Aodi,25.053838,121.930807,New Taipei,2008,8,28.0399993732572
Aodi,25.053838,121.930807,New Taipei,2000,11,24.3199994564056
Aodi,25.053838,121.930807,New Taipei,2013,9,27.289999390021
Aodi,25.053838,121.930807,New Taipei,2010,9,27.829999377951
Aodi,25.053838,121.930807,New Taipei,2002,10,25.4899994302541
Aodi,25.053838,121.930807,New Taipei,2015,3,21.6499995160848
Aodi,25.053838,121.930807,New Taipei,2000,4,22.6799994930625
Aodi,25.053838,121.930807,New Taipei,2010,1,20.7499995362014
Aodi,25.053838,121.930807,New Taipei,2007,5,24.98999944143
Aodi,25.053838,121.930807,New Taipei,2012,12,21.8899995107204
Aodi,25.053838,121.930807,New Taipei,2017,11,24.6099994499236
Aodi,25.053838,121.930807,New Taipei,2004,11,23.0499994847924
Aodi,25.053838,121.930807,New Taipei,2009,10,25.4199994318187
Aodi,25.053838,121.930807,New Taipei,2009,6,26.4699994083494
Aodi,25.053838,121.930807,New Taipei,2001,7,28.3599993661046
Aodi,25.053838,121.930807,New Taipei,2014,9,28.159999370575
Aodi,25.053838,121.930807,New Taipei,2003,12,22.2599995024502
Aodi,25.053838,121.930807,New Taipei,2009,2,21.4099995214492
Aodi,25.053838,121.930807,New Taipei,2008,9,26.8999993987381
Aodi,25.053838,121.930807,New Taipei,2014,4,22.0999995060265
Aodi,25.053838,121.930807,New Taipei,2008,7,28.2099993694574
Aodi,25.053838,121.930807,New Taipei,2001,3,22.9099994879216
Aodi,25.053838,121.930807,New Taipei,2013,6,27.1499993931502
Aodi,25.053838,121.930807,New Taipei,2010,12,22.4799994975328
Aodi,25.053838,121.930807,New Taipei,2010,10,25.8899994213134
Aodi,25.053838,121.930807,New Taipei,2005,1,20.8099995348603
Aodi,25.053838,121.930807,New Taipei,2010,6,25.6099994275719
Aodi,25.053838,121.930807,New Taipei,2020,12,22.5099994968623
Aodi,25.053838,121.930807,New Taipei,2005,3,20.7299995366484
Aodi,25.053838,121.930807,New Taipei,2017,12,23.269999479875
Aodi,25.053838,121.930807,New Taipei,2004,10,25.0399994403124
Aodi,25.053838,121.930807,New Taipei,2014,12,21.5799995176494
Aodi,25.053838,121.930807,New Taipei,2007,2,21.8799995109439
Aodi,25.053838,121.930807,New Taipei,2001,4,23.7199994698167
Aodi,25.053838,121.930807,New Taipei,2002,3,22.4899994973093
Aodi,25.053838,121.930807,New Taipei,2012,3,21.7499995138496
Aodi,25.053838,121.930807,New Taipei,2014,8,28.7899993564934
Aodi,25.053838,121.930807,New Taipei,2008,12,22.1999995037913
Aodi,25.053838,121.930807,New Taipei,2006,1,21.0399995297194
Aodi,25.053838,121.930807,New Taipei,2011,6,26.4099994096905
Aodi,25.053838,121.930807,New Taipei,2008,4,23.0799994841218
Aodi,25.053838,121.930807,New Taipei,2006,3,22.2599995024502
Aodi,25.053838,121.930807,New Taipei,2019,3,22.4299994986504
Aodi,25.053838,121.930807,New Taipei,2002,12,22.3099995013326
Aodi,25.053838,121.930807,New Taipei,2008,2,21.2899995241314
Aodi,25.053838,121.930807,New Taipei,2016,3,21.3199995234609
Aodi,25.053838,121.930807,New Taipei,2015,4,22.6099994946271
Aodi,25.053838,121.930807,New Taipei,2002,8,28.0399993732572
Aodi,25.053838,121.930807,New Taipei,2013,3,21.9299995098263
Aodi,25.053838,121.930807,New Taipei,2020,11,23.6399994716048
Aodi,25.053838,121.930807,New Taipei,2012,10,25.2999994345009
Aodi,25.053838,121.930807,New Taipei,2018,2,21.0399995297194
Aodi,25.053838,121.930807,New Taipei,2020,1,20.6299995388836
Aodi,25.053838,121.930807,New Taipei,2001,5,25.3699994329363
Aodi,25.053838,121.930807,New Taipei,2007,3,22.3699994999915
Aodi,25.053838,121.930807,New Taipei,2006,12,22.4299994986504
Aodi,25.053838,121.930807,New Taipei,2011,7,27.849999377504
Aodi,25.053838,121.930807,New Taipei,2017,3,21.1999995261431
Aodi,25.053838,121.930807,New Taipei,2019,10,25.3299994338304
Aodi,25.053838,121.930807,New Taipei,2006,2,21.4399995207787
Aodi,25.053838,121.930807,New Taipei,2003,8,28.6099993605167
Aodi,25.053838,121.930807,New Taipei,2008,5,25.1499994378537
Aodi,25.053838,121.930807,New Taipei,2013,12,21.6499995160848
Aodi,25.053838,121.930807,New Taipei,2018,11,23.7899994682521
Aodi,25.053838,121.930807,New Taipei,2005,11,24.139999460429
Aodi,25.053838,121.930807,New Taipei,2000,2,21.4699995201081
Aodi,25.053838,121.930807,New Taipei,2002,5,25.1999994367361
Aodi,25.053838,121.930807,New Taipei,2016,2,21.1499995272607
Aodi,25.053838,121.930807,New Taipei,2013,2,21.1499995272607
Aodi,25.053838,121.930807,New Taipei,2004,12,22.2999995015562
Aodi,25.053838,121.930807,New Taipei,2010,2,20.8499995339662
Aodi,25.053838,121.930807,New Taipei,2009,7,27.6999993808568
Aodi,25.053838,121.930807,New Taipei,2004,8,28.0599993728101
Aodi,25.053838,121.930807,New Taipei,2017,10,26.709999402985
Aodi,25.053838,121.930807,New Taipei,2009,5,24.6899994481355
Aodi,25.053838,121.930807,New Taipei,2014,6,26.4799994081259
Aodi,25.053838,121.930807,New Taipei,2011,12,21.6199995167553
Aodi,25.053838,121.930807,New Taipei,2011,10,24.5799994505942
Aodi,25.053838,121.930807,New Taipei,2003,5,24.9199994429946
Aodi,25.053838,121.930807,New Taipei,2019,5,25.4599994309247
Aodi,25.053838,121.930807,New Taipei,2017,2,21.8699995111674
Aodi,25.053838,121.930807,New Taipei,2014,2,20.2599995471537
Aodi,25.053838,121.930807,New Taipei,2005,12,22.4899994973093
Aodi,25.053838,121.930807,New Taipei,2005,10,25.3899994324893
Aodi,25.053838,121.930807,New Taipei,2015,12,22.08999950625
Aodi,25.053838,121.930807,New Taipei,2005,8,27.829999377951
Aodi,25.053838,121.930807,New Taipei,2002,4,23.7899994682521
Aodi,25.053838,121.930807,New Taipei,2010,5,24.8899994436652
Aodi,25.053838,121.930807,New Taipei,2015,6,27.3799993880093
Aodi,25.053838,121.930807,New Taipei,2007,11,23.0599994845688
Aodi,25.053838,121.930807,New Taipei,2002,2,21.4299995210022
Aodi,25.053838,121.930807,New Taipei,2004,5,25.4099994320422
Aodi,25.053838,121.930807,New Taipei,2020,5,25.5799994282424
Aodi,25.053838,121.930807,New Taipei,2001,6,27.1299993935972
Aodi,25.053838,121.930807,New Taipei,2015,2,20.6999995373189
Aodi,25.053838,121.930807,New Taipei,2001,9,27.0099993962795
Aodi,25.053838,121.930807,New Taipei,2006,10,25.3999994322658
Aodi,25.053838,121.930807,New Taipei,2014,5,24.5599994510412
Aodi,25.053838,121.930807,New Taipei,2006,8,28.0799993723631
Aodi,25.053838,121.930807,New Taipei,2016,4,22.5099994968623
Aodi,25.053838,121.930807,New Taipei,2011,5,24.3199994564056
Aodi,25.053838,121.930807,New Taipei,2014,3,20.7899995353073
Aodi,25.053838,121.930807,New Taipei,2008,11,24.7999994456768
Aodi,25.053838,121.930807,New Taipei,2013,10,25.5799994282424
Aodi,25.053838,121.930807,New Taipei,2019,2,21.3899995218962
Aodi,25.053838,121.930807,New Taipei,2000,6,27.0599993951619
Aodi,25.053838,121.930807,New Taipei,2001,1,21.4899995196611
