lat,lon,area,site
10.372969,114.365564,Taiping,Taiping
20.614567,116.823017,Dongsha,Lagoon of Dongsha Atoll site 11
20.701283,116.70135,Dongsha,Lagoon of Dongsha Atoll site 5
20.702954,116.716286,Dongsha,Lagoon Mouth of Dongsha Island
20.703283,116.799133,Dongsha,Lagoon of Dongsha Atoll site 10
20.748333,116.7726,Dongsha,Lagoon of Dongsha Atoll site 9
21.912889,120.861278,Kenting,Longkeng
21.931591,120.744976,Kenting,Third Nuclear Power Outlet
21.931725,120.823719,Kenting,Chuanfanshi
21.9386633,120.745335,Kenting,Houbihu Recreation Area
21.941161,120.797989,Kenting,Dawan
21.946011,120.842403,Kenting,Fongchueisha
21.94893,120.748,Kenting,Houbihu Marine Protected Area
21.9489345,120.747953,Kenting,Houbihu Marine Protected Area
21.958861,120.766261,Kenting,Nanwan
21.966493,120.842935,Kenting,Gangkou
21.995067,120.706086,Kenting,Wanlitong
22.086974,120.706685,Kenting,Shitogong
22.101621,120.715943,Kenting,Haikou
22.104906,120.900708,Kenting,Jioupeng
22.33458,120.359905,Xiaoliuqiu,Gebanwan
22.627782,120.262884,Kaohsiung,Chaishan
22.645394,121.482258,Green Island,Guiwan
22.645799,121.499415,Green Island,Wenquangan
22.6657102,121.510044,Green Island,Youzihhu
22.676167,121.499796,Green Island,Green Island Marine Research Station
22.676384,121.493253,Green Island,Gongguan
22.677263,121.481861,Green Island,Chaikou
22.678719,121.466547,Green Island,Lighthouse
22.791107,121.191405,Taitung,Fugang
22.831548,121.18636,Taitung,Mirawan
23.126261,121.419249,Taitung,Sanxiantai
23.50177,121.505684,Hualien,Shitiping
23.550731,119.548976,Penghu,Shetoushan
23.57913,119.681702,Penghu,Guoye Village
23.594442,119.51701,Penghu,Daguoye
23.620168,119.605374,Penghu,Zhongtun
23.620309,119.605459,Penghu,Zhongtun
23.663418,119.661342,Penghu,Niaoyu
24.386825,118.319385,Kinmen,Zhaishan
24.880391,121.845864,Yilan,Waiao
24.9988889,121.018333,Taoyuan,Yongan
25.0386111,121.048333,Taoyuan,Datan G2
25.0447222,121.055556,Taoyuan,Datan G1
25.053838,121.930807,New Taipei,Aodi
25.0608333,121.088611,Taoyuan,Baiyu
25.125686,121.915337,New Taipei,Bitoujiao
25.2866667,121.5125,New Taipei,Shimen
25.968206,119.97929,Matsu,Dongju
26.154522,119.936548,Matsu,Qingshui
25.0111111,121.024167,Taoyuan,Yongxin
25.0194444,121.031667,Taoyuan,Baosheng
25.251747,121.469452,New Taipei,Cianshueiwan
